0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:37:39 +1000] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:37:39 +1000] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:37:39 +1000] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:37:39 +1000] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:37:39 +1000] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:38:13 +1000] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:38:13 +1000] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:38:13 +1000] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:38:13 +1000] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:38:13 +1000] "GET /favicon.ico HTTP/1.1" 200 21630
